headline,category,date,source
7 Ways To Spend The Money From Obama's Proposed Oil Tax,BUSINESS,2016-02-05 00:00:00,HuffPost
Obama Proposes New Tax On Oil To Pay For Clean Transportation,POLITICS,2016-02-04 00:00:00,HuffPost
The Oil Lobby Has A Pretty Predictable Response To Obama's Oil Tax Proposal,BUSINESS,2016-02-04 00:00:00,HuffPost
L.A. Prosecutors File Criminal Charges Against Gas Company Over Methane Leak,POLITICS,2016-02-03 00:00:00,HuffPost
Bernie Sanders Wins On Climate Change In Mock Iowa Caucus Of Activists,POLITICS,2016-02-02 00:00:00,HuffPost
It's Been More Than 100 Days Since The Worst Environmental Disaster Since The BP Oil Spill,POLITICS,2016-02-01 00:00:00,HuffPost
Heroin Crisis Gives Democrats Fuel To Move On Criminal Justice Reform,POLITICS,2016-01-31 00:00:00,HuffPost
"A Giant Gas Cloud Is Coming Toward Us At 700,000 Miles Per Hour",SCIENCE,2016-01-29 00:00:00,HuffPost
"Fossil Fuels Are A Terrible Investment, And They're Only Going To Get Worse",BUSINESS,2016-01-28 00:00:00,HuffPost
Solar Energy Just Eked Out A Major Win In California,BUSINESS,2016-01-28 00:00:00,HuffPost
Four Graphics (And A Book) That Help Explain Climate Change,SCIENCE,2016-01-27 00:00:00,HuffPost
Here's One Climate Issue Ted Cruz Actually Gets Right,POLITICS,2016-01-26 00:00:00,HuffPost
Bill Clinton Addresses Event Hosted By Company Embroiled In Lawsuits,POLITICS,2016-01-24 00:00:00,HuffPost
Aron Cramer: Climate Change Denial Isn't Politically Sustainable For The GOP,BUSINESS,2016-01-22 00:00:00,HuffPost
"Global Markets Plunge On Oil, China Fears",BUSINESS,2016-01-20 00:00:00,HuffPost
Getting 196 Countries To Agree On Climate Change Was ‘The Easy Part’,BUSINESS,2016-01-20 00:00:00,HuffPost
"Huge California Gas Leak Will Come To An End In February, Utility Says",BUSINESS,2016-01-19 00:00:00,HuffPost
Gas Selling For 47 Cents A Gallon As Oil Prices Drop Sharply,BUSINESS,2016-01-18 00:00:00,HuffPost
Stock Prices Sink As 'Oil Glut' Rattles Global Markets,BUSINESS,2016-01-15 00:00:00,HuffPost
There Wasn't A Single Question About Climate Change During The GOP Debate,POLITICS,2016-01-15 00:00:00,HuffPost
Body Cam Footage Leads To Federal Civil Rights Charges For Las Vegas Cop,POLITICS,2016-01-12 00:00:00,HuffPost
There Are Now More Solar Jobs In America Than Oil Extraction Jobs,BUSINESS,2016-01-12 00:00:00,HuffPost
This Is The Little-Known Reason Renewable Prices Are Dropping,POLITICS,2016-01-11 00:00:00,HuffPost
The Senate's Biggest Climate Change Denier Endorses Marco Rubio For President,POLITICS,2016-01-10 00:00:00,HuffPost
The Story Of Sheldon Adelson's Purchase Of A Las Vegas Paper Is Even Crazier Than You Think,POLITICS,2016-01-10 00:00:00,HuffPost
Climate Change Is Taking A Toll On Farmers’ Mental Health,POLITICS,2016-01-06 00:00:00,HuffPost
Koko The Gorilla Probably Doesn't Understand Climate Change,SCIENCE,2016-01-06 00:00:00,HuffPost
ISIS Launches Attack On Oil Terminal In Libya,THE WORLDPOST,2016-01-04 00:00:00,HuffPost
End Of Fossil Fuels Won't Come Too Soon For Millions Breathing Toxic Air,POLITICS,2015-12-31 00:00:00,HuffPost
Smog Is Spoiling New Year's In Italy This Year,THE WORLDPOST,2015-12-31 00:00:00,HuffPost
Video Makes Visible California’s Unseen Natural Gas Disaster,POLITICS,2015-12-30 00:00:00,HuffPost
It’s Official: None Of The Remaining Major GOP Candidates Accept Climate Science,POLITICS,2015-12-28 00:00:00,HuffPost
The Next Climate Crusader in the White House,POLITICS,2015-12-26 00:00:00,HuffPost
Taliban Leader Rebuked By Religious Leaders In Sign Of Turmoil,THE WORLDPOST,2015-12-25 00:00:00,HuffPost
Gas Tanker Truck Fire Kills More Than 100 In Nigeria,THE WORLDPOST,2015-12-25 00:00:00,HuffPost
U.S. Christmas Lights Burn More Energy Than Some Nations In A Year,BUSINESS,2015-12-24 00:00:00,HuffPost
Costa Rica's Green Energy Feat Shows Hope For The Planet,POLITICS,2015-12-23 00:00:00,HuffPost
"Ben Carson: I Wouldn't Bomb ISIS Oil Truck Drivers, I'd Just Warn Them They'll Die",POLITICS,2015-12-22 00:00:00,HuffPost
How 19 Big-Name Corporations Plan to Make Money Off the Climate Crisis,BUSINESS,2015-12-22 00:00:00,HuffPost
"Oil Prices Have Hit An 11-Year Low, And That's Exactly What Saudi Arabia Wants",BUSINESS,2015-12-21 00:00:00,HuffPost
5 Climate And Clean Energy Charts From 2015 You Need To See,POLITICS,2015-12-18 00:00:00,HuffPost
Community Solar Brings Renewable Energy 'To The Masses',POLITICS,2015-12-18 00:00:00,HuffPost
San Diego Adopts Ambitious Plan To Battle Climate Change,POLITICS,2015-12-16 00:00:00,HuffPost
The Paris Climate Deal Is President Obama’s Biggest Accomplishment,POLITICS,2015-12-15 00:00:00,HuffPost
Is Climate Change A Security Threat? Depends On Who You Ask.,POLITICS,2015-12-15 00:00:00,HuffPost
Harry Reid: Crude Oil Exports Holding Up Budget Negotiations,POLITICS,2015-12-15 00:00:00,HuffPost
"Republicans Just Don't Get Climate Science, And Here's Proof",SCIENCE,2015-12-14 00:00:00,HuffPost
"With A Climate Deal In Place, Now The Real Work Begins",POLITICS,2015-12-13 00:00:00,HuffPost
We Have A Climate Deal. Now What?,POLITICS,2015-12-13 00:00:00,HuffPost
Republican Lawmakers Vocal In Opposition To Climate Deal,POLITICS,2015-12-13 00:00:00,HuffPost
"The Power of Paris: Climate Challenge Remains, But Now We're on the Right Path",WORLDPOST,2015-12-13 00:00:00,HuffPost
Legendary Climate Scientist Is Not Impressed With The Paris Talks,THE WORLDPOST,2015-12-12 00:00:00,HuffPost
World On Brink Of Landmark Climate Agreement In Paris,THE WORLDPOST,2015-12-12 00:00:00,HuffPost
White House Praises 'Most Ambitious Climate Change Agreement In History',POLITICS,2015-12-12 00:00:00,HuffPost
Climate Deal Text 'Agreed' In Paris,THE WORLDPOST,2015-12-12 00:00:00,HuffPost
"In The Marshall Islands, Traditional Agriculture And Healthy Eating Are A Climate Change Strategy",THE WORLDPOST,2015-12-12 00:00:00,HuffPost
Bernie Sanders Isn't Too Impressed By The Historic Climate Agreement,POLITICS,2015-12-12 00:00:00,HuffPost
Barack Obama Praises Paris Climate Change Agreement,POLITICS,2015-12-12 00:00:00,HuffPost
Historic Climate Change Agreement Adopted In Paris,POLITICS,2015-12-12 00:00:00,HuffPost
Why Pulling All-Nighters For The U.N. Climate Agreement Is A Bad Idea,SCIENCE,2015-12-11 00:00:00,HuffPost
Congress Is Close To A Deal That Could Flood Global Markets With American Oil,POLITICS,2015-12-09 00:00:00,HuffPost
Bernie Sanders On Climate Change: 'We Are On A Suicidal Course',POLITICS,2015-12-09 00:00:00,HuffPost
Greenpeace Says Fossil Fuel Industry Misleads On Climate Science,POLITICS,2015-12-09 00:00:00,HuffPost
Workers At Donald Trump's Las Vegas Hotel Vote To Unionize,BUSINESS,2015-12-07 00:00:00,HuffPost
"Bernie Sanders Unveils Forceful Climate Change Plan, And He's Going After Big Oil",POLITICS,2015-12-07 00:00:00,HuffPost
Dozens Feared Dead In Fire At Azerbaijan Oil Rig,THE WORLDPOST,2015-12-05 00:00:00,HuffPost
"Climate Summit Gets Heat For Huge Carbon Footprint, But It's Not All Bad",SCIENCE,2015-12-03 00:00:00,HuffPost
"In Slap At Obama, GOP-Led House Moves To Block Steep Cuts To Greenhouse Gas Emissions",POLITICS,2015-12-02 00:00:00,HuffPost
Scientists Warn Climate Change Will Trigger Rise In Terrifying Illness,SCIENCE,2015-12-02 00:00:00,HuffPost
Exxon Mobil Screwed Up Its Attack On Columbia For Climate Reports,BUSINESS,2015-12-02 00:00:00,HuffPost
Climate Activists Take Over London Museum,POLITICS,2015-12-01 00:00:00,HuffPost
Chris Christie: Climate Change 'Is Not A Crisis',POLITICS,2015-12-01 00:00:00,HuffPost
"Climate Pact Is An 'Act Of Defiance' After Paris Attacks, Obama Says",POLITICS,2015-11-30 00:00:00,HuffPost
EPA Boosts Amount Of Ethanol In Gasoline Supply,POLITICS,2015-11-30 00:00:00,HuffPost
Students Chastise CEOs For Failing On Climate Change,BUSINESS,2015-11-30 00:00:00,HuffPost
"Obama Is ‘Delusional’ For Saying Climate Change Is A Major National Security Threat, Fiorina Says",POLITICS,2015-11-30 00:00:00,HuffPost
Climate Activists Call For Greater Diversity Of Voices At The Table In Paris,POLITICS,2015-11-30 00:00:00,HuffPost
How Scientists Know Climate Change Is Happening,SCIENCE,2015-11-30 00:00:00,HuffPost
Empty Shoes Left Out To Replace Cancelled Paris Climate March,THE WORLDPOST,2015-11-29 00:00:00,HuffPost
Around 200 Arrests At Paris Climate Conference Protest,THE WORLDPOST,2015-11-29 00:00:00,HuffPost
What You Need To Know About The Paris Climate Summit,SCIENCE,2015-11-29 00:00:00,HuffPost
World Leaders Build Momentum For Paris Climate Talks,THE WORLDPOST,2015-11-27 00:00:00,HuffPost
These Children Are Suing The Federal Government Over Climate Change,POLITICS,2015-11-25 00:00:00,HuffPost
How Exxon Mobil And Koch Brothers Created A Culture Of Climate Doubt,BUSINESS,2015-11-25 00:00:00,HuffPost
Mayors Take On Crucial Roles Fighting Climate Change,POLITICS,2015-11-24 00:00:00,HuffPost
"As Chevy Ends Award-Winning Sustainability Plan, The Climate Is Just As Screwed As Ever",BUSINESS,2015-11-20 00:00:00,HuffPost
House Dems Say BP Shouldn’t Get Tax Write-Off From Oil Spill Settlement,POLITICS,2015-11-18 00:00:00,HuffPost
Senate Attacks Obama’s Landmark Climate Rules,POLITICS,2015-11-17 00:00:00,HuffPost
France Defiantly Plans To Go Ahead With Climate Change Summit,THE WORLDPOST,2015-11-14 00:00:00,HuffPost
Iwo Jima Vet 'Flabbergasted' By Pentagon Spending On Sports Military Tributes,POLITICS,2015-11-11 00:00:00,HuffPost
Paradise Burned: How Climate Change Is Scorching California,POLITICS,2015-11-10 00:00:00,HuffPost
John Kerry Wants U.S. Embassies To Consider Climate Change In Their Strategic Planning,POLITICS,2015-11-10 00:00:00,HuffPost
"Bill Nye: Millennials Care About Climate Change, Conservatives Should Too",POLITICS,2015-11-10 00:00:00,HuffPost
How 5-Hour Energy Founder Limits His Work Week To Just 40 Hours,BUSINESS,2015-11-09 00:00:00,HuffPost
"100 Million More People Will Be In Poverty By 2030 Without Action On Climate, World Bank Says",POLITICS,2015-11-08 00:00:00,HuffPost
Bernie Sanders: Climate Change Is A ‘Major Planetary Crisis’ And The U.S. Must Act Now,POLITICS,2015-11-06 00:00:00,HuffPost
Exxon Mobil To Be Investigated In New York For Climate Statements,POLITICS,2015-11-05 00:00:00,HuffPost
New York Attorney General Investigating Exxon Mobil For Alleged Climate Cover-Up,POLITICS,2015-11-05 00:00:00,HuffPost
Murray Energy Accused Of Creating 'Atmosphere Of Intimidation' At 5 West Virginia Coal Mines,POLITICS,2015-11-04 00:00:00,HuffPost
Hawaii Makes Another Big Move Toward 100 Percent Renewable Energy,SCIENCE,2015-11-04 00:00:00,HuffPost
This Gas Exoplanet Is Evaporating To Reveal A Rocky Core,SCIENCE,2015-11-03 00:00:00,HuffPost
Colorado School District Immersed In Political Turmoil Amid Recall,POLITICS,2015-11-02 00:00:00,HuffPost
Turkish Security Forces Fire Tear Gas At Protesters In Diyarbakir,THE WORLDPOST,2015-11-01 00:00:00,HuffPost
Justice Department Under Pressure To Investigate ExxonMobil For Climate Change Cover-Up,POLITICS,2015-10-30 00:00:00,HuffPost
How Washington Transformed Its Dying Oyster Industry Into A Climate Success Story,POLITICS,2015-10-29 00:00:00,HuffPost
The Plan To Save The World: What Success At The Paris Climate Conference Looks Like,POLITICS,2015-10-28 00:00:00,HuffPost
Coal State Senators Look To Block Obama's Climate Rules,POLITICS,2015-10-27 00:00:00,HuffPost
GOP Sen. Kelly Ayotte Backs Obama's Climate Change Plan,POLITICS,2015-10-26 00:00:00,HuffPost
Jonathan Chait Rips Naomi Klein's Climate Change Book,POLITICS,2015-10-24 00:00:00,HuffPost
Democrats On Indian Affairs Committee Support Fast-tracking Tribal Energy Development,POLITICS,2015-10-22 00:00:00,HuffPost
Bernie Sanders Wants DOJ To Investigate 'Potential Fraud' By Exxon Over Climate Research,POLITICS,2015-10-20 00:00:00,HuffPost
White House Announces More Corporate Climate Commitments,POLITICS,2015-10-19 00:00:00,HuffPost
"Joe Biden Meets With Key Labor Leader, Fueling Speculation",POLITICS,2015-10-18 00:00:00,HuffPost
Justice Breyer Won't Sit Out Big Energy Case Where He Had Conflict Of Interest,POLITICS,2015-10-17 00:00:00,HuffPost
House Democrats Press DOJ To Investigate If Exxon Broke The Law With A Climate Change Cover-up,POLITICS,2015-10-16 00:00:00,HuffPost
Democratic Debate Takes Las Vegas Tourists By Surprise,POLITICS,2015-10-14 00:00:00,HuffPost
Climate Change Gets Its Due In The Democratic Debate,POLITICS,2015-10-14 00:00:00,HuffPost
What Climate Advocates Want From The First Democratic Primary Debate,POLITICS,2015-10-13 00:00:00,HuffPost
John McCain Is Worried House Turmoil Will Hurt GOP In 2016,POLITICS,2015-10-11 00:00:00,HuffPost
Climate Change Haunts This Year's Pumpkin Crop,POLITICS,2015-10-09 00:00:00,HuffPost
State Department Embraces Cities As Key To Meeting Climate Goals,POLITICS,2015-10-08 00:00:00,HuffPost
Demolishing The 7 Myths Propping Up Fossil Fuels,BUSINESS,2015-10-08 00:00:00,HuffPost
GOP Energy And Environment Forum Canceled Because No One Was Going To Show Up,POLITICS,2015-10-07 00:00:00,HuffPost
Climate-Denying Rep. Wants To Investigate Scientists For Requesting A Probe Of Climate Deniers,POLITICS,2015-10-06 00:00:00,HuffPost
Elizabeth Warren's Next Target Is Big Oil,POLITICS,2015-10-06 00:00:00,HuffPost
Boehner Delays Leadership Elections With GOP In Turmoil,POLITICS,2015-10-05 00:00:00,HuffPost
Kasich On Climate Change: 'I Just Don't Know Enough About It',POLITICS,2015-10-02 00:00:00,HuffPost
How Climate Change Is Intensifying Hurricane Joaquin,POLITICS,2015-10-01 00:00:00,HuffPost
Food Giants Align For Climate Action,POLITICS,2015-10-01 00:00:00,HuffPost
This Young Republican Wants The Next President To Fight Climate Change,POLITICS,2015-09-29 00:00:00,HuffPost
Jeb Bush Energy Plan Takes Aim At Obama Effort To Reduce Power Plant Emissions,POLITICS,2015-09-29 00:00:00,HuffPost
Jeb Bush To Roll Out Energy Plan At Company With A History Of Violations,POLITICS,2015-09-28 00:00:00,HuffPost
Big Banks Call For 'Strong' Climate Deal,BUSINESS,2015-09-28 00:00:00,HuffPost
A Changed Climate In Washington,POLITICS,2015-09-26 00:00:00,HuffPost
"Obama And Xi: A Lot Of Climate, A Little Cyber, Mostly Fluff",POLITICS,2015-09-26 00:00:00,HuffPost
Hillary Clinton: We Should Heed The Pope's Message On Climate Change,POLITICS,2015-09-25 00:00:00,HuffPost
"Activists Rally Behind Pope's Message On Climate, The Poor",POLITICS,2015-09-24 00:00:00,HuffPost
"Conservatives Dismiss Pope On Climate Change, Warn Of Immigrant 'Anarchy'",POLITICS,2015-09-24 00:00:00,HuffPost
Pope Francis Calls On Congress To Take 'Courageous Actions' On Climate Change,POLITICS,2015-09-24 00:00:00,HuffPost
Jeb Bush: The Pope Shouldn't Discuss Climate Change Because 'He's Not A Scientist',POLITICS,2015-09-24 00:00:00,HuffPost
Unlikely Coalition Forms To Back Renewable Energy,BUSINESS,2015-09-23 00:00:00,HuffPost
Activists Hope Pope Can Change Climate Conversation In Washington,POLITICS,2015-09-22 00:00:00,HuffPost
Senate Democrats Stage Major Climate Change Push,POLITICS,2015-09-22 00:00:00,HuffPost
Here's A Really Hot Take: GOP Candidates May Finally Be Getting It On Climate Change,POLITICS,2015-09-20 00:00:00,HuffPost
GOP Congressman Boycotting Pope's Speech Over Climate Change,POLITICS,2015-09-18 00:00:00,HuffPost
Climate Group Targets Congressman Who's Boycotting The Pope's Speech,POLITICS,2015-09-18 00:00:00,HuffPost
Marco Rubio Says He's Not A Climate Skeptic,POLITICS,2015-09-17 00:00:00,HuffPost
Interior Secretary Defends Fossil Fuels: 'You Can't Just Cut It Off Overnight',POLITICS,2015-09-15 00:00:00,HuffPost
White House Won't Back Bill Lifting Ban On Crude Oil Exports,POLITICS,2015-09-15 00:00:00,HuffPost
"North Korea Revamps, Restarts Nuclear Bomb Fuel Production Plants",THE WORLDPOST,2015-09-15 00:00:00,HuffPost
Alabama Students Will Finally Be Required To Learn About Climate Change And Evolution,SCIENCE,2015-09-14 00:00:00,HuffPost
Study Predicts 200 Feet Of Sea Level Rise If All Fossil Fuels Are Burned,SCIENCE,2015-09-13 00:00:00,HuffPost
BOOK: Climate Change Presents Danger Of Genocide,THE WORLDPOST,2015-09-13 00:00:00,HuffPost
Big Oil Tanks California Measure To Cut Petroleum Use In Half,POLITICS,2015-09-10 00:00:00,HuffPost
Oil Industry Gets Help On Undermining Ozone Standards From A Well-Informed Source,POLITICS,2015-09-09 00:00:00,HuffPost
GOP Taking Anti-Climate Push Abroad,POLITICS,2015-09-07 00:00:00,HuffPost
Monitor: ISIS Captures Last Syrian Oil Field Under Regime Control,THE WORLDPOST,2015-09-07 00:00:00,HuffPost
The European Migrant Crisis Is A Nightmare. Climate Change Will Make It Worse.,THE WORLDPOST,2015-09-05 00:00:00,HuffPost
Kerry On Arctic: 'We're Not Going To Suddenly Be Weaned From Oil',POLITICS,2015-09-04 00:00:00,HuffPost
Even These Big Fossil Fuel Companies Support An International Climate Agreement,POLITICS,2015-09-02 00:00:00,HuffPost
Chris Christie Yells At Town Hall Attendee For Quoting His Own Comments On Climate,POLITICS,2015-09-02 00:00:00,HuffPost
Obama Points To Disappearing Alaskan Glacier As Powerful Sign Of Climate Change,POLITICS,2015-09-02 00:00:00,HuffPost
Fossil Fuel Execs Made Twice As Much As U.S. Pledged To Help Fight Climate Change Overseas,POLITICS,2015-09-02 00:00:00,HuffPost
Michigan's Republican Governor Says State Will Comply With Obama's Climate Plan,POLITICS,2015-09-01 00:00:00,HuffPost
Obama Wants His Alaska Trip To Be The 'Punctuation Mark' On His Climate Legacy,POLITICS,2015-08-31 00:00:00,HuffPost
"In Alaska, Obama Highlights Climate Change While His Decisions Draw Accusations Of 'Hypocrisy'",POLITICS,2015-08-31 00:00:00,HuffPost
"Women in Business Q&A: Tapasya Bali, Co-Founder and COO, YOGASMOGA",BUSINESS,2015-08-30 00:00:00,HuffPost
Dick Cheney: Iran Deal Will Lead To First Use Of Nuclear Weapon Since Hiroshima And Nagasaki,POLITICS,2015-08-29 00:00:00,HuffPost
California Climate Bills Could Set A High Bar For The Rest Of The Country,POLITICS,2015-08-29 00:00:00,HuffPost
It's Time For Corporate America To Stand Up To Republican Climate Deniers,BUSINESS,2015-08-28 00:00:00,HuffPost
Why Big Corporations Like Gap And eBay Are Mobilizing Against Climate Change,BUSINESS,2015-08-27 00:00:00,HuffPost
Here's What's Fueling The Ben Carson Buzz,POLITICS,2015-08-24 00:00:00,HuffPost
White House Announces Plans To Boost Renewable Energy Use,POLITICS,2015-08-24 00:00:00,HuffPost
Thousands Of Lebanese Protestors Met With Tear Gas And Gunfire In Beirut,THE WORLDPOST,2015-08-22 00:00:00,HuffPost
Here's How Rats End Up In Toilet Bowls,SCIENCE,2015-08-18 00:00:00,HuffPost
California Ballot Measure Fails To Create Many Green Energy Jobs,POLITICS,2015-08-17 00:00:00,HuffPost
"Climate, Iraq, #BlackLivesMatter -- A Trumpless Show",POLITICS,2015-08-16 00:00:00,HuffPost
Opponents Of Obama's New Climate Rule Ready Court Fight,POLITICS,2015-08-09 00:00:00,HuffPost
Japan's Prime Minister Marks Nagasaki Anniversary With Pledge Against Nuclear Weapons,THE WORLDPOST,2015-08-09 00:00:00,HuffPost
The Perilous Morality of Climate Change,IMPACT,2015-08-09 00:00:00,HuffPost
Are Rogue Militants Preparing For War On American Soil?,POLITICS,2015-08-06 00:00:00,HuffPost
GOP Presidential Candidates Challenged On Climate Change By Jerry Brown,POLITICS,2015-08-05 00:00:00,HuffPost
The Point Of No Return: Climate Change Nightmares Are Already Here,POLITICS,2015-08-05 00:00:00,HuffPost
Don't Like The New Climate Rules? Thank Congress.,POLITICS,2015-08-04 00:00:00,HuffPost
5 Ways Obama's Successor Could Undermine His New Climate Rules,POLITICS,2015-08-04 00:00:00,HuffPost
Climate Activists Dupe Scott Walker Into Posing With Fake Koch Brothers Check,POLITICS,2015-08-03 00:00:00,HuffPost
Obama On Climate Rules: 'This Is Our Moment To Get This Right',POLITICS,2015-08-03 00:00:00,HuffPost
Obama To Unveil Tough Emission Cuts As Part Of Climate Change Actions,POLITICS,2015-08-02 00:00:00,HuffPost
"Obama To Announce The 'Biggest, Most Important Step' So Far On Climate",POLITICS,2015-08-02 00:00:00,HuffPost
70 Years After Hiroshima and Nagasaki: The Urgency of Banning Nuclear Weapons,WORLDPOST,2015-08-01 00:00:00,HuffPost
How The GOP Could Raise Gas Taxes And End Its Highway Nightmare,POLITICS,2015-07-30 00:00:00,HuffPost
Jeb Bush Now Says Humans Contribute To Climate Change,POLITICS,2015-07-30 00:00:00,HuffPost
Boehner Backs Lifting Crude Oil Export Ban,POLITICS,2015-07-29 00:00:00,HuffPost
Hillary Clinton Focuses On Renewable Energy In Climate Change Plan,POLITICS,2015-07-27 00:00:00,HuffPost
These Big Businesses Have All Committed To Climate Action,POLITICS,2015-07-27 00:00:00,HuffPost
"Impact Investing Could Help Developing Countries Tackle Food Security, Climate Change",IMPACT,2015-07-24 00:00:00,HuffPost
Jeb Bush Wants To Cut All Energy Subsidies,POLITICS,2015-07-23 00:00:00,HuffPost
John Kasich Actually Believes in Climate Change. But He Doesn't Want to Fix It.,POLITICS,2015-07-21 00:00:00,HuffPost
Republicans Are Upset That Martin O'Malley Cited Actual Science On Climate Change And Conflict,POLITICS,2015-07-21 00:00:00,HuffPost
Crude Oil Train Derails In Montana,BUSINESS,2015-07-17 00:00:00,HuffPost
Iran Deal Clears Way For More Cheap Gas,BUSINESS,2015-07-14 00:00:00,HuffPost
China's Toilet Bowl Dragons,WORLDPOST,2015-07-07 00:00:00,HuffPost
Bait and Switch Foils NYS Adoptee Rights,POLITICS,2015-06-30 00:00:00,HuffPost
For Clean Air and a Safe Climate Future,WORLDPOST,2015-06-30 00:00:00,HuffPost
"Millions of Refugees Need Access to Cleaner, More Efficient Cookstoves and Fuels",IMPACT,2015-06-24 00:00:00,HuffPost
"Even the Pope Is Talking Climate, So Where Are American Businesses?",BUSINESS,2015-06-24 00:00:00,HuffPost
"Surgeon General: Climate Change Is A 'Serious, Immediate And Global Threat To Human Health'",POLITICS,2015-06-23 00:00:00,HuffPost
Mike Huckabee: Climate Science 'Not Settled',POLITICS,2015-06-21 00:00:00,HuffPost
Derailment Fuels Fears Around Propane Facility,POLITICS,2015-06-18 00:00:00,HuffPost
Pope Urges 'Every Person Living on This Planet' to Take Action on Climate Change,WORLDPOST,2015-06-18 00:00:00,HuffPost
"From Hunger to Climate Change: Transform Words into Action, Says Pope Francis",WORLDPOST,2015-06-17 00:00:00,HuffPost
Jeb Bush Among Conservatives Criticizing Pope For Climate Change,POLITICS,2015-06-17 00:00:00,HuffPost
"Iran Welcomes Shell, BP, Total and American Oil Companies",WORLDPOST,2015-06-15 00:00:00,HuffPost
Why Rupert Murdoch's Exit at Fox Is Good for Climate Change Science,BUSINESS,2015-06-12 00:00:00,HuffPost
Rick Santorum Tries To Explain Why He Can Weigh In On Climate Change But Pope Shouldn't,POLITICS,2015-06-07 00:00:00,HuffPost
The Russian Nuclear Energy Proposal: An Offer You Can't Refuse,POLITICS,2015-06-05 00:00:00,HuffPost
Explosion At Gas Station Kills 90 In Ghana,WORLDPOST,2015-06-04 00:00:00,HuffPost
Explosion At Ghana Gas Station Kills Around 90 People,WORLDPOST,2015-06-04 00:00:00,HuffPost
How Clean Energy Works for Colorado,BUSINESS,2015-06-03 00:00:00,HuffPost
The U.S. Just Launched A Crime Strike Force In This Booming Oil Patch,POLITICS,2015-06-03 00:00:00,HuffPost
Sheldon Whitehouse: Sue Fossil Fuel Companies For Climate Fraud,POLITICS,2015-06-03 00:00:00,HuffPost
Texas Legalizes Medical Marijuana Oils For Epilepsy,POLITICS,2015-06-01 00:00:00,HuffPost
Land for Toilets,IMPACT,2015-06-01 00:00:00,HuffPost
Showers and Toilet on Wheels Give Homeless a Clean Slate,IMPACT,2015-05-28 00:00:00,HuffPost
A Man Soiled Himself in the Street -- and Came up with a Great Business Idea!,IMPACT,2015-05-27 00:00:00,HuffPost
"U.S., Canada And Mexico Create New Climate Change Partnership",POLITICS,2015-05-25 00:00:00,HuffPost
Hidden Costs From Our Dependence on Fossil Fuels,BUSINESS,2015-05-24 00:00:00,HuffPost
"White Roof, Low Energy",IMPACT,2015-05-23 00:00:00,HuffPost
How Pakistan's Energy Crisis Fuels Terrorism,WORLDPOST,2015-05-19 00:00:00,HuffPost
Renewables Driving the Energy Transformation,IMPACT,2015-05-14 00:00:00,HuffPost
3 Libertarians Fuel $7 Million Super PAC In Philadelphia's Mayoral Democratic Primary,POLITICS,2015-05-14 00:00:00,HuffPost
How Couple's Passion for Good Food Fueled Mission to Fight Food Insecurity,IMPACT,2015-05-12 00:00:00,HuffPost
Let's Talk Toilet Paper,BUSINESS,2015-05-11 00:00:00,HuffPost
How the EU Can Save You Energy Without Wasting Your Resources,WORLDPOST,2015-05-11 00:00:00,HuffPost
Flying Cars or Flying Toilets: What Is the Best Way to Measure Innovation?,BUSINESS,2015-04-25 00:00:00,HuffPost
Syria Chlorine Gas,WORLDPOST,2015-04-21 00:00:00,HuffPost
The Impact of Energy on China/Myanmar Relations,WORLDPOST,2015-04-14 00:00:00,HuffPost
Modi's Oxymoronic Stance on Climate Change,WORLDPOST,2015-04-11 00:00:00,HuffPost
Alaska's Prudhoe Bay Loses Top Spot Among U.S. Oil Fields,BUSINESS,2015-04-08 00:00:00,HuffPost
Insurance Policy for the Future: Investing in Millennials and Clean Energy,IMPACT,2015-04-05 00:00:00,HuffPost
Here's What Conservative Intellectuals Think About Climate Change,POLITICS,2015-04-05 00:00:00,HuffPost
Violence Hits Nigeria's Oil-Rich Delta Region,WORLDPOST,2015-04-04 00:00:00,HuffPost
U.S. To Submit Plans To Combat Climate Change While Other Countries Delay,POLITICS,2015-03-29 00:00:00,HuffPost
Leaked Report: Jerusalem At Boiling Point,WORLDPOST,2015-03-20 00:00:00,HuffPost
Super PAC Men: How Political Consultants Took A Texas Oilman On A Wild Ride,POLITICS,2015-03-19 00:00:00,HuffPost
How Uncertainty Fuels Anxiety,WORLDPOST,2015-03-19 00:00:00,HuffPost
"With New Letters, D.C. Showdown on Iran Roils On",POLITICS,2015-03-17 00:00:00,HuffPost
Will Gaza Gas Serve as Israel's Trojan Horse?,POLITICS,2015-03-16 00:00:00,HuffPost
Froilan de Dios: Discover Where Your Passion Lies and Where Your True North Points,BUSINESS,2015-03-14 00:00:00,HuffPost
How Energy Industry Benefited From Keystone XL Veto,BUSINESS,2015-03-05 00:00:00,HuffPost
New Snowden Revelation Could Spark Turmoil Among Nations,WORLDPOST,2015-03-05 00:00:00,HuffPost
"ISIS Burns Oil Field East Of Tikrit In Defensive Maneuver, Witness Says",WORLDPOST,2015-03-05 00:00:00,HuffPost
Oklahoma Is One Step Closer To Allowing Nitrogen Gas Executions,POLITICS,2015-03-04 00:00:00,HuffPost
Jeremy Bloom: 'Fueled by Failure',IMPACT,2015-03-03 00:00:00,HuffPost
Biggest Oil Refinery Strike In Decades Spreads To Largest U.S. Plant,BUSINESS,2015-02-21 00:00:00,HuffPost
Fired Up! Entrepreneurial Passion Fuel,BUSINESS,2015-02-21 00:00:00,HuffPost
